fast,"n. abstaining from food
v. abstain from certain foods, as for religious or medical reasons
v. abstain from eating
a. acting or moving or capable of acting or moving quickly"
raise,"n. the amount a salary is increased
n. increasing the size of a bet (as in poker)
v. raise the level or amount of something
v. raise from a lower to a higher position"
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
World Vision,none
shocking,"v surprise greatly; knock someone's socks off
v strike with disgust or revulsion
v strike with horror or terror
v collide violently
v collect or gather into shocks
v subject to electrical shocks
v inflict a trauma upon
s glaringly vivid and graphic; marked by sensationalism
s giving offense to moral sensibilities and injurious to reputation"
famine,n. a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death
senior,"n. an undergraduate student during the year preceding graduation
a. older; higher in rank; longer in length of tenure or service
s. used of the fourth and final year in United States high school or college"
starve,"v. be hungry; go without food
v. die of food deprivation
v. deprive of food
v. deprive of a necessity and cause suffering"
donation,"n a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n act of giving in common with others for a common purpose especially to a charity"
collect,"n. a short prayer generally preceding the lesson in the Church of Rome or the Church of England
v. call for and obtain payment of
v. get or bring together
v. gather or collect"
donate,v. give to a charity or good cause
generous,"a. willing to give and share unstintingly
a. not petty in character and mind
s. more than adequate"
freshman,"n. a first-year undergraduate
s. used of a person in the first year of an experience (especially in United States high school or college)"
funfair,"n a commercially operated park with stalls and shows for amusement
n a traveling show; having sideshows and rides and games of skill etc."
forecast,v. predict in advance
stall,"n. a compartment in a stable where a single animal is confined and fed
n. a booth where articles are displayed for sale
n. a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge
n. seating in the forward part of the main level of a theater"
in aid of,none
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
brilliant,"s. of surpassing excellence
s. characterized by grandeur
s. full of light; shining intensely"
crowded,a. overfilled or compacted or concentrated
portrait-sketching,none
karaoke,n. singing popular songs accompanied by a recording of an orchestra (usually in bars or nightclubs)
calculate,"v. make a mathematical calculation or computation
v. judge to be probable
v. specifically design a product, event, or activity for a certain public"
walkathon,none
alumni,n a person who has received a degree from a school (high school or college or university)
home,"n. where you live at a particular time
n. the country or state or city where you live
n. place where something began and flourished
n. an environment offering affection and security"
purchase,"n. the acquisition of something for payment
n. something acquired by purchase
n. a means of exerting influence or gaining advantage"
IT,n the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information
information technology,none
finance,"n. the commercial activity of providing funds and capital
n. the branch of economics that studies the management of money and other assets
n. the management of money and credit and banking and investments
v. obtain or provide money for"
sophomore,"n. a second-year undergraduate
s. used of the second year in United States high school or college"
proceeds,"n the income or profit arising from such transactions as the sale of land or other property
v continue talking
v move ahead; travel onward in time or space
v follow a procedure or take a course
v follow a certain course
v continue a certain state, condition, or activity"
come to,none
astonished,"v affect with wonder
s filled with the emotional impact of overwhelming surprise or shock"
pick up,"n. a light truck with an open body and low sides and a tailboard
n. a warrant to take someone into custody
n. anything with restorative powers"
souvenir,"n something of sentimental value
n a reminder of past events"
lasting,s. lasting a long time without change
drive,"n. the act of applying force to propel something
n. a mechanism by which force or power is transmitted in a machine
n. the trait of being highly motivated
n. hitting a golf ball off of a tee with a driver"
extensively,r. in a widespread way
pint,"n. a British imperial capacity measure (liquid or dry) equal to 4 gills or 568.26 cubic centimeters
n. a United States dry unit equal to 0.5 quart or 33.6 cubic inches
n. a United States liquid unit equal to 16 fluid ounces; two pints equal one quart"
play a role in,none
trucking,"n the activity of transporting goods by truck
v convey (goods etc.) by truck"
recognize,"v. be fully aware or cognizant of
v. perceive to be the same
v. exhibit recognition for (an antigen or a substrate)
v. show approval or appreciation of"
virtually,r. in essence or effect but not in fact
critical,"a. marked by a tendency to find and call attention to errors and flaws
a. at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction
a. characterized by careful evaluation and judgment
s. urgently needed; absolutely necessary"
on hand,none
absolutely,"r. completely and without qualification; used informally as intensifiers
r. totally and definitely; without question"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
pair ... with,none
due to,none
ongoing,s. currently happening
precious,"s. of high worth or cost
r. extremely"
sacrifice,"n. personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
n. a loss entailed by giving up or selling something at less than its value
n. the act of killing (an animal or person) in order to propitiate a deity
n. (baseball) an out that advances the base runners"
well-argued,none
motion,"n. a change of position that does not entail a change of location
n. a state of change
n. a formal proposal for action made to a deliberative assembly for discussion and vote
n. the act of changing location from one place to another"
refute,"v. overthrow by argument, evidence, or proof
v. prove to be false or incorrect"
