acrobatics,"n. the gymnastic moves of an acrobat
n. the performance of stunts while in flight in an aircraft"
acrobat,n. an athlete who performs acts requiring skill and agility and coordination
trouper,n. a person who is reliable and uncomplaining and hard working
acrobatic theatre,none
acrobatic art,none
modern acrobatics,none
folk acrobatics,none
acrobatic competition,none
acrobatic festival,none
acrobatic troupe,none
daredevil,"n. a reckless impetuous irresponsible person
s. presumptuously daring"
skydiving,n. performing acrobatics in free fall before pulling the ripcord of a parachute
dangerous,"a. involving or causing danger or risk; liable to hurt or harm
s. causing fear or anxiety by threatening great harm"
parachute,n. rescue equipment consisting of a device that fills with air and retards your fall
timid,"n. people who are fearful and cautious
a. showing fear and lack of confidence"
behavior,"n. manner of acting or controlling yourself
n. the action or reaction of something (as a machine or substance) under specified circumstances
n. (psychology) the aggregate of the responses or reactions or movements made by an organism in any situation"
thrilling,s. causing quivering or shivering as by cold or fear or electric shock
adventurous person,none
risk-takers,plural of risk-taker
hot-air balloon,none
sky diver,n. a person who jumps from a plane and performs various gymnastic maneuvers before pulling the parachute cord
bungee jumping,none
hang-gliding,none
extreme game,none
car racing,none
The Guinness Book of World Records,none
take risks,none
afraid of height,none
seek thrills,none
cause danger,none
have more curiosity,none
give up life for thrills,none
cater to the tastes of some TV viewers,none
gears or facilities,none
automobile,v. travel in an automobile
diamond necklace,none
make a deep impression,none
remember the brand,none
non-profitable ads,none
increase sales of products,none
new brand,none
improve reputation,none
non-profitable,none
follow social norms,none
mislead consumers,none
focus of ads,none
ruin the credit,none
symbol of high quality,none
commercial advertisement,none
classified advertisement,none
supplement,"n. a quantity added (e.g. to make up for a deficiency)
v. add as a supplement to what seems insufficient
v. serve as a supplement to"
advertiser,n. someone whose business is advertising
media,"n a means or instrumentality for storing or communicating information
n the surrounding environment
n an intervening substance through which signals can travel as a means for communication
n (bacteriology) a nutrient substance (solid or liquid) that is used to cultivate micro-organisms
n a liquid with which pigment is mixed by a painter
n (biology) a substance in which specimens are preserved or displayed
n an intervening substance through which something is achieved
n a state that is intermediate between extremes; a middle position
n someone who serves as an intermediary between the living and the dead
n (usually plural) transmissions that are disseminated widely to the public
n an occupation for which you are especially well suited"
poster,n. a sign posted in a public place as an advertisement
billboard,n. large outdoor signboard
commercial,"n. a commercially sponsored ad on radio or television
a. connected with or engaged in or sponsored by or used in commerce or commercial enterprises
a. of or relating to commercialism
s. of the kind or quality used in commerce; average or inferior"
inset,"n. a small picture inserted within the bounds or a larger one
v. set or place in"
lost & found,none
