abroad,"s. in a foreign country
r. to or in a foreign country"
affect,"n. the conscious subjective aspect of feeling or emotion
v. have an effect upon
v. act physically on; have an effect upon
v. have an emotional or cognitive impact upon"
attend,"v. be present at (meetings, church services, university), etc.
v. take charge of or deal with
v. to accompany as a circumstance or follow as a result
v. give heed (to)"
blame,"n. a reproach for some lapse or misdeed
v. put or pin the blame on
v. harass with constant criticism
v. attribute responsibility to"
bubble,"n. a hollow globule of gas (e.g., air or carbon dioxide)
n. an impracticable and illusory idea
n. a dome-shaped covering made of transparent glass or plastic
v. form, produce, or emit bubbles"
cemetery,n. a tract of land used for burials
commendation,"n an official award (as for bravery or service) usually given as formal public statement
n a message expressing a favorable opinion"
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
cooperate,v work together on a common enterprise of project
curious,"s. beyond or deviating from the usual or expected
a. eager to investigate and learn or learn more (sometimes about others' concerns)
s. having curiosity aroused; eagerly interested in learning more"
delicious,n. variety of sweet eating apples
direct,"v. command with authority
v. guide the actors in (plays and films)
v. be in charge of
v. give directions to; point somebody into a certain direction"
draw,"n. a gully that is shallower than a ravine
n. the finish of a contest in which the score is tied and the winner is undecided
n. anything (straws or pebbles etc.) taken or chosen at random
n. a playing card or cards dealt or taken from the pack"
empire,"n. the domain ruled by an emperor or empress; the region over which imperial dominion is exercised
n. a group of countries under a single authority
n. a monarchy with an emperor as head of state
n. an eating apple that somewhat resembles a McIntosh; used as both an eating and a cooking apple"
event,"n. something that happens at a given place and time
n. a special set of circumstances
n. a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory"
failure,"n. an act that fails
n. an event that does not accomplish its intended purpose
n. lack of success
n. a person with a record of failing; someone who loses consistently"
file,"n. a set of related records (either written or electronic) kept together
n. a line of persons or things ranged one behind the other
n. office furniture consisting of a container for keeping papers in order
n. a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal"
