bore,"n. a person who evokes boredom
n. diameter of a tube or gun barrel
n. a hole or passage made by a drill; usually made for exploratory purposes
v. cause to be bored"
beloved,"n. a beloved person; used as terms of endearment
s. dearly loved"
website,n a computer connected to the internet that maintains a series of web pages on the World Wide Web
entertain,"v. provide entertainment for
v. take into consideration, have in view"
chopped,s. prepared by cutting
smoking,s. emitting smoke in great volume
bizarre,s. conspicuously or grossly unconventional or unusual
overseas,r. in a place across an ocean
tribute,"n. something given or done as an expression of esteem
n. payment by one nation for protection by another"
retrieve,"v. go for and bring back
v. run after, pick up, and bring to the master"
devise,"n. a will disposing of real property
n. (law) a gift of real property by will
v. give by will, especially real property"
bomber,"n. a military aircraft that drops bombs during flight
n. a person who plants bombs
n. a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States"
campaign,"n. a series of actions advancing a principle or tending toward a particular end
n. several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)
n. an overland journey by hunters (especially in Africa)
v. run, stand, or compete for an office or a position"
nominate,"v. propose as a candidate for some honor
v. put forward; nominate for appointment to an office or for an honor or position"
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
skeptical,"s denying or questioning the tenets of especially a religion
s marked by or given to doubt"
scrutiny,n. a prolonged intense look
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
rape,"n. Eurasian plant cultivated for its seed and as a forage crop
n. the act of despoiling a country in warfare
n. the crime of forcing a woman to submit to sexual intercourse against her will
v. force (someone) to have sex against their will"
brass,"n. an alloy of copper and zinc
n. a wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece
n. an ornament or utensil made of brass
n. a memorial made of brass"
considering,"v deem to be
v give careful consideration to
v take into consideration for exemplifying purposes
v show consideration for; take into account
v think about carefully; weigh
v judge or regard; look upon; judge
v look at attentively
v look at carefully; study mentally
v regard or treat with consideration, respect, and esteem"
drill,"n. a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows)
n. similar to the mandrill but smaller and less brightly colored
n. (military) the training of soldiers to march (as in ceremonial parades) or to perform the manual of arms
v. train in the military, e.g., in the use of weapons"
unfortunate,"n. a person who suffers misfortune
a. not favored by fortune; marked or accompanied by or resulting in ill fortune
s. unsuitable or regrettable"
anchor,"n. a mechanical device that prevents a vessel from moving
n. a central cohesive source of support and stability
n. a television reporter who coordinates a broadcast to which several correspondents contribute
v. fix firmly and stably"
hunt,"n. Englishman and Pre-Raphaelite painter (1827-1910)
n. United States architect (1827-1895)
n. British writer who defended the Romanticism of Keats and Shelley (1784-1859)
n. an association of huntsmen who hunt for sport"
zero,"n. a mathematical element that when added to another number yields the same number
n. the point on a scale from which positive or negative numerical quantities can be measured
n. the sight setting that will cause a projectile to hit the center of the target with no wind blowing
v. adjust (an instrument or device) to zero value"
extract,"v. remove, usually with some force or effort; also used in an abstract sense
v. get despite difficulties or obstacles
v. separate (a metal) from an ore
v. calculate the root of a number"
intensive,"s. characterized by a high degree or intensity; often used as a combining form
a. tending to give force or emphasis
a. of agriculture; intended to increase productivity of a fixed area by expending more capital and labor"
betray,"v. reveal unintentionally
v. deliver to an enemy by treachery"
consistency,"n. the property of holding together and retaining its shape
n. a harmonious uniformity or agreement among things or parts
n. logical coherence and accordance with the facts
n. (logic) an attribute of a logical system that is so constituted that none of the propositions deducible from the axioms contradict one another"
