finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
heading,n. a line of text serving to indicate what the passage below it is about
vigor,n. active strength of body or mind
scarcity,n. a small and inadequate amount
darkened,"s. (of fabrics and paper) grown dark in color over time
s. become or made dark by lack of light"
stiffen,"v. become stiff or stiffer
v. make stiff or stiffer
v. restrict"
quarry,v. extract (something such as stones) from or as if from a quarry
pediatrician,n a specialist in the care of babies
uninsured,a. not covered by insurance
incompetent,"n. someone who is not competent to take effective action
a. legally not qualified or sufficient
a. not qualified or suited for a purpose
s. not doing a good job"
harness,"n. a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute)
n. stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart
v. put a harness
v. exploit the power of"
dissipate,"v. live a life of pleasure, especially with respect to alcoholic consumption"
tow,"n. the act of hauling something (as a vehicle) by means of a hitch or rope
v. drag behind"
leftover,"n. a small part or portion that remains after the main part no longer exists
s. not used up"
mahogany,"n. wood of any of various mahogany trees; much used for cabinetwork and furniture
n. any of various tropical timber trees of the family Meliaceae especially the genus Swietinia valued for their hard yellowish- to reddish-brown wood that is readily worked and takes a high polish"
publicize,v. make public
drizzle,"n. very light rain; stronger than mist but less than a shower
v. rain lightly
v. moisten with fine drops"
wallpaper,"n. a decorative paper for the walls of rooms
v. cover with wallpaper"
fatality,"n. a death resulting from an accident or a disaster
n. the quality of being able to cause death or fatal disasters"
burden,"n. an onerous or difficult concern
n. the central idea that is expanded in a document or discourse
v. weight down with a load"
obscene,s. designed to incite to indecency or lust
visibly,"r. in a visible manner
r. so as to be visible"
oxide,n. any compound of oxygen with another element or a radical
bulge,"n. something that bulges out or is protuberant or projects from its surroundings
v. swell or protrude outwards
v. bulge out; form a bulge outward, or be so full as to appear to bulge
v. cause to bulge or swell outwards"
coercion,n. the act of compelling by force of authority
locale,n the scene of any event or action (especially the place of a meeting)
reimbursement,n. compensation paid (to someone) for damages or losses or money already spent etc.
diocese,n. the territorial jurisdiction of a bishop
tracking,"n the pursuit (of a person or animal) by following tracks or marks they left behind
v carry on the feet and deposit
v observe or plot the moving path of something
v go after with the intent to catch
v travel across or pass over
v make tracks upon"
