evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
vision,"n. a vivid mental image
n. the perceptual experience of seeing
n. a religious or mystical experience of a supernatural appearance"
visualize,"v. imagine; conceive of; see in one's mind
v. view the outline of by means of an X-ray
v. form a mental picture of something that is invisible or abstract
v. make visible"
visual,"a relating to or using sight
s visible; give me the ocular proof""- Shakespeare"
visible,"a. capable of being seen; or open to easy view
s. obvious to the eye
s. present and easily available"
invisible,a. impossible or nearly impossible to see; imperceptible by the eye
envision,v. picture to oneself; imagine possible
revise,v. make revisions in
review,"n. an essay or article that gives a critical evaluation (as of a book or play)
n. (accounting) a service (less exhaustive than an audit) that provides some assurance to interested parties as to the reliability of financial data
n. a periodical that publishes critical essays on current affairs or literature or art
n. (law) a judicial reexamination of the proceedings of a court (especially by an appellate court)"
provide,"v. give what is desired or needed, especially support, food or sustenance
v. determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation
v. supply means of subsistence; earn a living
v. take measures in preparation for"
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
supervisor,n. one who supervises or has charge and direction of
envisage,v form a mental image of something that is not present or that is not the case
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
respect,"n. (usually preceded by `in') a detail or point
n. an attitude of admiration or esteem
v. regard highly; think much of
v. show respect towards"
respectable,a. characterized by socially or conventionally acceptable morals
respectful,"a. full of or exhibiting respect
s. feeling or manifesting veneration"
respective,s. considered individually
suspect,"n. someone who is under suspicion
v. imagine to be the case or true or probable
v. hold in suspicion; believe to be guilty"
despise,v look down on with disdain
despicable,s. morally reprehensible
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
foresee,"v realize beforehand
v picture to oneself; imagine possible
v act in advance of; deal with ahead of time"
spectacle,"n. something or someone seen (especially a notable or unusual sight)
n. an elaborate and remarkable display on a lavish scale
n. a blunder that makes you look ridiculous; used in the phrase `make a spectacle of' yourself"
aspect,"n. a distinct feature or element in a problem
n. a characteristic to be considered
n. the beginning or duration or completion or repetition of the action of a verb"
inspect,v. look over carefully
investigate,"v. investigate scientifically
v. conduct an inquiry or investigation of"
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
retrospect,n. contemplation of things past
speculate,"v. to believe especially on uncertain or tentative grounds
v. talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion
v. invest at a risk"
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
conspicuous,a. obvious to the eye or mind
tone,"n. the quality of a person's voice
n. (linguistics) a pitch or change in pitch of the voice that serves to distinguish words in tonal languages
n. a steady sound without overtones
n. a musical interval of two semitones"
monotonous,"s tediously repetitious or lacking in variety; all work and no play""
s sounded or spoken in a tone unvarying in pitch"
supersonic,"a. (of speed) greater than the speed of sound in a given medium (especially air)
s. having frequencies above those of audible sound"
ultrasonic,s having frequencies above those of audible sound
vocal,"a. relating to or designed for or using the singing voice
a. having or using the power to produce speech or sound
s. full of the sound of voices"
equivocal,"a. open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead
s. open to question
s. uncertain as a sign or indication"
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
provoke,"v. evoke or provoke to appear or occur
v. provide the needed stimulus for"
affront,"n a deliberately offensive act or something producing the effect of deliberate disrespect
v treat, mention, or speak to rudely"
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
respond,v. respond favorably or as hoped
correspond,v. exchange messages
spontaneous,a. happening or arising without apparent external cause
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
probation,"n. a trial period during which your character and abilities are tested to see whether you are suitable for work or for membership
n. a trial period during which an offender has time to redeem himself or herself
n. (law) a way of dealing with offenders without imprisoning them; a defendant found guilty of a crime is released by the court without imprisonment subject to conditions imposed by the court"
approve,"v. give sanction to
v. judge to be right or commendable; think well of"
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
pronounce,"v. speak, pronounce, or utter in a certain way
v. pronounce judgment on"
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
active,"n. a person who is a participating member of an organization
a. tending to become more severe or wider in scope
s. engaged in or ready for military or naval operations
a. disposed to take action or effectuate change"
activate,"v. make active or more active
v. make more adsorptive
v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v. make (substances) radioactive"
react,"v. show a response or a reaction to something
v. act against or in opposition to
v. undergo a chemical reaction; react with another substance under certain conditions"
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
interact,v. act together or towards others or with others
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
agenda,"n. a temporally organized plan for matters to be attended to
n. a list of matters to be taken up (as at a meeting)"
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
antagonist,"n. a muscle that relaxes while another contracts
n. a drug that neutralizes or counteracts the effects of another drug"
create,"v. bring into existence
v. pursue a creative activity; be engaged in a creative activity
v. invest with a new title, office, or rank
v. create by artistic means"
creature,"n. a human being; `wight' is an archaic term
n. a person who is controlled by others and is used to perform unpleasant or dishonest tasks for someone else"
recreate,v. create anew
pastime,n. a diversion that occupies one's time and thoughts (usually pleasantly)
mediocre,"s. moderate to inferior in quality
s. poor to middling in quality"
prefer,"v. like better; value more highly
v. promote over another
v. give preference to one creditor over another"
refer,"v. be relevant to
v. think of, regard, or classify under a subsuming principle or with a general group or in relation to another
v. send or direct for treatment, information, or a decision
v. use a name to designate"
defer,"v hold back to a later time
v yield to another's wish or opinion"
interfere,v. come between so as to be hindrance or obstacle
confer,"v. have a conference in order to talk something over
v. present"
differ,v. be different
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
