technology,n. the practical application of science to commerce or industry
programme,"n an announcement of the events that will occur as part of a theatrical or sporting event
n an integrated course of academic studies
n a radio or television show
n (computer science) a sequence of instructions that a computer can interpret and execute
n a system of projects or services intended to meet a public need
n a series of steps to be carried out or goals to be accomplished
n a performance (or series of performances) at a public presentation
v write a computer program
v arrange a program of or for"
program,"n. a system of projects or services intended to meet a public need
n. an announcement of the events that will occur as part of a theatrical or sporting event
n. (computer science) a sequence of instructions that a computer can interpret and execute
n. a performance (or series of performances) at a public presentation"
section,"n. a self-contained part of a larger composition (written or musical)
n. a very thin slice (of tissue or mineral or other substance) for examination under a microscope
n. a distinct region or subdivision of a territorial or political area or community or group of people
n. one of several parts or pieces that fit with others to constitute a whole object"
researcher,n a scientist who devotes himself to doing research
economy,"n. the system of production and distribution and consumption
n. the efficient use of resources
n. frugality in the expenditure of money or resources
n. an act of economizing; reduction in cost"
climate,"n. the weather in some location averaged over some long period of time
n. the prevailing psychological state"
reduce,"v. cut down on; make a reduction in
v. make less complex
v. bring to humbler or weaker state or condition
v. simplify the form of a mathematical equation of expression by substituting one term for another"
product,"n. an artifact that has been created by someone or some process
n. a quantity obtained by multiplication
n. a chemical substance formed as a result of a chemical reaction
n. a consequence of someone's efforts or of a particular set of circumstances"
poverty,n. the state of having little or no money and few or no material possessions
require,"v require as useful, just, or proper
v consider obligatory; request and expect
v make someone do something
v have need of"
environmental,"a. of or relating to the external conditions or surroundings
a. concerned with the ecological effects of altering the environment"
fail,"v. fail to do something; leave something undone
v. be unsuccessful
v. disappoint, prove undependable to; abandon, forsake
v. stop operating or functioning"
advertise,"v. call attention to
v. make publicity for; try to sell (a product)"
experiment,"n. the act of conducting a controlled test or investigation
n. the testing of an idea
n. a venture at something new or different
v. to conduct a test or investigation"
field,"n. a piece of land cleared of trees and usually enclosed
n. somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected
n. the space around a radiating body within which its electromagnetic oscillations can exert force on another similar body not in contact with it
n. a particular kind of commercial enterprise"
type,"n. a subdivision of a particular kind of thing
n. (biology) the taxonomic group whose characteristics are used to define the next higher taxon
n. printed characters
n. all of the tokens of the same symbol"
management,"n. the act of managing something
n. those in charge of running a business"
crop,"n. the yield from plants in a single growing season
n. a cultivated plant that is grown commercially on a large scale
n. a collection of people or things appearing together
n. the output of something in a season"
prove,"v. be shown or be found to be
v. establish the validity of something, as by an example, explanation or experiment
v. prove formally; demonstrate by a mathematical, formal proof
v. take a trial impression of"
stereotype,n. a conventional or formulaic conception or image
shape,"n. any spatial attributes (especially as defined by outline)
n. the spatial arrangement of something as distinct from its substance
n. a concrete representation of an otherwise nebulous concept
v. make something, usually for a specific function"
extreme,"n. the furthest or highest degree of something
s. of the greatest possible degree or extent or intensity
s. far beyond a norm in quantity or amount or degree; to an utmost degree
s. beyond a norm in views or actions"
labour,"n a social class comprising those who do manual labor or work for wages
n concluding state of pregnancy; from the onset of contractions to the birth of a child
n a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries
n productive work (especially physical work done for wages)
v work hard
v strive and make an effort to reach a goal
v undergo the efforts of childbirth"
fossil,"n. the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil
a. characteristic of a fossil"
reality,"n. the state of being actual or real
n. the state of the world as it really is rather than as you might want it to be
n. the quality possessed by something that is real"
cultural,"a. of or relating to the arts and manners that a group favors
s. denoting or deriving from or distinctive of the ways of living built up by a group of people
a. of or relating to the shared knowledge and values of a society
a. relating to the raising of plants or animals"
