heel,"n. the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
n. the back part of the human foot
n. one of the crusty ends of a loaf of bread
n. the lower end of a ship's mast"
scoop,"n. the quantity a scoop will hold
n. a hollow concave shape made by removing something
n. the shovel or bucket of a dredge or backhoe
n. a large ladle"
electricity,"n. a physical phenomenon associated with stationary or moving electrons and protons
n. energy made available by the flow of electric charge through a conductor
n. keen and shared excitement"
style,"n. a particular kind (as to appearance)
n. (botany) the narrow elongated part of the pistil between the ovary and the stigma
n. editorial directions to be followed in spelling and punctuation and capitalization and typographical display
n. a slender bristlelike or tubular process"
pleasure,"n. a fundamental feeling that is hard to define but that people desire to experience
n. a formal expression
n. an activity that affords enjoyment
n. sexual gratification"
zipper,"n a fastener for locking together two toothed edges by means of a sliding tab
v close with a zipper"
zip,"n a quantity of no importance
n a code of letters and digits added to a postal address to aid in the sorting of mail
n forceful exertion
n a fastener for locking together two toothed edges by means of a sliding tab
v close with a zipper
v move very fast"
daily,"n. a newspaper that is published every day
s. of or belonging to or occurring every day
r. every day; without missing a day"
have a point,none
website,n a computer connected to the internet that maintains a series of web pages on the World Wide Web
pioneer,"n. someone who helps to open up a new line of research or technology or art
n. one the first colonists or settlers in a new territory
v. open up an area or prepare a way
v. open up and explore a new area"
list,"n. a database containing an ordered array of items (names or topics)
v. give or make a list of; name individually; give the names of
v. include in a list
v. cause to lean to the side"
mention,"n. a remark that calls attention to something or someone
n. an official recognition of merit
v. make reference to
v. commend"
accidental,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally"
by accident,none
ruler,n. a person who rules or commands
boil,"n. a painful sore with a hard core filled with pus
v. come to the boiling point and change from a liquid to vapor
v. immerse or be immersed in a boiling liquid, often for cooking purposes
v. bring to, or maintain at, the boiling point"
remain,"v. be left; of persons, questions, problems, results, evidence, etc."
smell,"n. the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
n. the faculty that enables us to distinguish scents
n. the act of perceiving the odor of something
v. inhale the odor of; perceive by the olfactory sense"
smelt,"n. small cold-water silvery fish; migrate between salt and fresh water
n. small trout-like silvery marine or freshwater food fishes of cold northern waters
v. extract (metals) by heating"
smelled,"v inhale the odor of; perceive by the olfactory sense
v emit an odor
v smell bad
v have an element suggestive (of something)
v become aware of not through the senses but instinctively"
saint,"n. a person who has died and has been declared a saint by canonization
n. person of exceptional holiness"
trade,"n. the commercial exchange (buying and selling on domestic or international markets) of goods and services
n. the skilled practice of a practical occupation
n. the business given to a commercial establishment by its customers
v. engage in the trade of"
take place,none
popularity,n. the quality of being widely admired or accepted or sought after
doubt,"n. the state of being unsure of something
n. uncertainty about the truth or factuality or existence of something
v. consider unlikely or have doubts about
v. lack confidence in or have doubts about"
without doubt,none
fridge,n a refrigerator in which the coolant is pumped around by an electric motor
low,"n. an air mass of lower pressure; often brings precipitation
n. British political cartoonist (born in New Zealand) who created the character Colonel Blimp (1891-1963)
n. a low level or position or degree
a. less than normal in degree or intensity or amount"
somebody,n a human being
lock,"n. a fastener fitted to a door or drawer to keep it firmly closed
n. a strand or cluster of hair
n. a mechanism that detonates the charge of a gun
n. enclosure consisting of a section of canal that can be closed to control the water level; used to raise or lower vessels that pass through it"
ring,"n. a characteristic sound
n. a toroidal shape
n. the sound of a bell ringing
n. a platform usually marked off by ropes in which contestants box or wrestle"
rang,"v sound loudly and sonorously
v ring or echo with sound
v make (bells) ring, often for the purposes of musical edification
v get or try to get into communication (with someone) by telephone
v extend on all sides of simultaneously; encircle
v attach a ring to the foot of, in order to identify"
rung,n. a crosspiece between the legs of a chair
earthquake,"n. shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
n. a disturbance that is extremely disruptive"
sudden,a. happening without warning or in a short space of time
all of a sudden,none
bell,"n. a hollow device made of metal that makes a ringing sound when struck
n. the sound of a bell being struck
n. (nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell; eight bells signals 4:00, 8:00, or 12:00 o'clock, either a.m. or p.m.
n. the shape of a bell"
biscuit,n. small round bread leavened with baking-powder or soda
cookie,"n. any of various small flat sweet cakes (`biscuit' is the British term)
n. the cook on a ranch or at a camp
n. a short line of text that a web site puts on your computer's hard drive when you access the web site"
musical,"n. a play or film whose action and dialogue is interspersed with singing and dancing
a. characterized by or capable of producing music
a. talented in or devoted to music
a. characteristic of or resembling or accompanied by music"
instrument,"n. a device that requires skill for proper use
n. the means whereby some act is accomplished
n. a person used by another to gain an end
v. equip with instruments for measuring, recording, or controlling"
crispy,s tender and brittle
salty,"a. containing or filled with salt
s. one of the four basic taste sensations; like the taste of sea water"
sour,"n. a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
n. the taste experience when vinegar or lemon juice is taken into the mouth
v. go sour or spoil
v. make sour or more sour"
by mistake,none
customer,n. someone who pays for goods or services
the Olympics,none
Canadian,"n. a native or inhabitant of Canada
n. a river rising in northeastern New Mexico and flowing eastward across the Texas panhandle to become a tributary of the Arkansas River in Oklahoma
a. of or relating to Canada or its people"
divide,"n. a serious disagreement between two groups of people (typically producing tension or hostility)
v. separate into parts or portions
v. perform a division"
divide ... into,none
basket,"n. a container that is usually woven and has handles
n. the quantity contained in a basket
n. horizontal circular metal hoop supporting a net through which players try to throw the basketball
n. a score in basketball made by throwing the ball through the hoop"
not only ... but also ...,none
look up to,none
hero,"n. a man distinguished by exceptional courage and nobility and strength
n. the principal character in a play or movie or novel or poem
n. Greek mathematician and inventor who devised a way to determine the area of a triangle and who described various mechanical devices (first century)
n. (classical mythology) a being of great strength and courage celebrated for bold exploits; often the offspring of a mortal and a god"
professional,"n. a person engaged in one of the learned professions
n. an athlete who plays for pay
a. engaged in a profession or engaging in as a profession or means of livelihood
a. of or relating to or suitable as a profession"
nearly,"r (of actions or states) slightly short of or not quite accomplished; all but
r in a close manner"
Berlin,"n. capital of Germany located in eastern Germany
n. United States songwriter (born in Russia) who wrote more than 1500 songs and several musical comedies (1888-1989)
n. a limousine with a glass partition between the front and back seats"
NBA,none
National Basketball Association,none
CBA,none
China Basketball Association,none
Roy,"n. A king.
a. Royal."
Whitcomb,none
Ruby,"n. a transparent piece of ruby that has been cut and polished and is valued as a precious gem
n. a transparent deep red variety of corundum; used as a gemstone and in lasers"
Thomas,"n. United States clockmaker who introduced mass production (1785-1859)
n. United States socialist who was a candidate for president six times (1884-1968)
n. a radio broadcast journalist during World War I and World War II noted for his nightly new broadcast (1892-1981)"
George,"n. Christian martyr; patron saint of England; hero of the legend of Saint George and the Dragon in which he slew a dragon and saved a princess (?-303)
n. King of Great Britain and Ireland and emperor of India from 1936 to 1947; he succeeded Edward VIII (1895-1952)
n. King of Great Britain and Ireland and emperor of India from 1910 to 1936; gave up his German title in 1917 during World War I (1865-1936)"
James,"n. a Stuart king of Scotland who married a daughter of Henry VII; when England and France went to war in 1513 he invaded England and died in defeat at Flodden (1473-1513)
n. the last Stuart to be king of England and Ireland and Scotland; overthrown in 1688 (1633-1701)
n. the first Stuart to be king of England and Ireland from 1603 to 1625 and king of Scotland from 1567 to 1625; he was the son of Mary Queen of Scots and he succeeded Elizabeth I; he alienated the British Parliament by claiming the divine right of kings (1566-1625)"
license,"n. a legal document giving official permission to do something
n. freedom to deviate deliberately from normally applicable rules or practices (especially in behavior or speech)
n. excessive freedom; lack of due restraint
n. the act of giving a formal (usually written) authorization"
licence,"n excessive freedom; lack of due restraint
n freedom to deviate deliberately from normally applicable rules or practices (especially in behavior or speech)
n a legal document giving official permission to do something
v authorize officially"
safety,"n. the state of being certain that adverse effects will not be caused by some agent under defined conditions
n. a safe place
n. a score in American football; a player is tackled behind his own goal line"
smoke,"n. a cloud of fine particles suspended in a gas
n. a hot vapor containing fine particles of carbon being produced by combustion
n. an indication of some hidden activity
n. something with no concrete substance"
part-time,a. involving less than the standard or customary time for an activity
pierce,"n. 14th President of the United States (1804-1869)
v. cut or make a way through
v. move or affect (a person's emotions or bodily feelings) deeply or sharply
v. sound sharply or shrilly"
earring,n. jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe
flash,"n. a sudden intense burst of radiant energy
n. a momentary brightness
n. a short vivid experience
n. a sudden brilliant understanding"
tiny,s very small
cry,"n. a loud utterance; often in protest or opposition
n. a loud utterance of emotion (especially when inarticulate)
n. a fit of weeping
n. the characteristic utterance of an animal"
field,"n. a piece of land cleared of trees and usually enclosed
n. somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected
n. the space around a radiating body within which its electromagnetic oscillations can exert force on another similar body not in contact with it
n. a particular kind of commercial enterprise"
hug,"n. a tight or amorous embrace
v. fit closely or tightly"
lift,"n. the act of giving temporary assistance
n. a wave that lifts the surface of the water or ground
n. a device worn in a shoe or boot to make the wearer look taller or to correct a shortened leg
n. one of the layers forming the heel of a shoe or boot"
badly,"r. to a severe or serious degree
r. evilly or wickedly
r. in a disobedient or naughty way
r. with great intensity (`bad' is a nonstandard variant for `badly')"
talk back,none
awful,s. causing fear or dread or terror
teen,"n a juvenile between the onset of puberty and maturity
s being of the age 13 through 19"
regret,"v. feel sad about the loss or absence of
v. decline formally or politely
v. express with regret"
poem,n. a composition written in metrical feet forming rhythmical lines
community,"n. a group of people living in a particular local area
n. common ownership
n. a group of nations having common interests
n. agreement as to goals"
keep ... away from,none
make one's own decision,none
educate,"v. give an education to
v. teach or refine to be discriminative in taste or judgment"
manage,"v. be in charge of, act on, or dispose of"
society,"n. an extended social group having a distinctive cultural and economic organization
n. the fashionable elite"
get in the way of,none
support,"n. the activity of providing for or maintaining by supplying with money or necessities
n. aiding the cause or policy or interests of
n. something providing immaterial assistance to a person or cause or interest
n. a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission"
enter,"v. to come or go into
v. become a participant; be involved in
v. come on stage"
Picasso,n. prolific and influential Spanish artist who lived in France (1881-1973)
whose,"pron. The possessive case of who or which. See Who, and Which."
truck,"n. an automotive vehicle suitable for hauling
v. convey (goods etc.) by truck"
