state,1. n. 情形；国家；州 2. vt. 陈述；规定；声明
statute,n. 法令；法规；条例
manifestation,n. 显示；表现；示威运动
statistic,"n. 统计量 adj. 统计的,统计学的"
statistical,"adj. 统计学的, 以数据表示的"
stationary,adj. 固定的；静止的；定居的；常备军的  n. 不动的人；驻军
statement,"n. 声明, 陈述 结算单, 报表"
understatement,轻描淡写
overstate,夸大
statesman,n. 政治家
estate,n. 财产；房地产；身份
devastate,vt. 毁坏;使荒芜 在感情上(精神上、财务上等)压垮
devastating,"adj. 毁灭性的 很好的, 引人注目的"
workstation,"n. 操作工位, 工作区"
status,n. 地位；情形；状态；重要身分
assert,vt. 断言；主张；声称；维护，坚持
affirm,1. vt. 断言；肯定 2. vi. 断言；确认
public,1. adj. 公用的；公众的；公立的；政府的 2. n. 公众；社会；公共场所
publication,发表
republican,"adj. 共和国的, 共和政体的 n. 拥护共和政体者, 共和主义者"
publicity,宣传
publicized,
publicly,adv. 公然地；以公众名义
in public,adv. 公开地，当众
mass,1. n. 大量，众多；群众，民众；块，团 2. adj. 大规模的，集中的；群众的，民众的
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
law,1. n. 法律；法学；诉讼；法治；司法界；规律 2. vi. 起诉；控告
claw,1. n. 爪；螯，钳；爪形器具 2. vi. 用爪抓（或挖）
lawful,adj. 合法的；法定的；法律许可的
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
flaw,1. n. 瑕疵，裂纹；缺点；一阵狂风 2. vt. 使破裂，使有缺陷；使无效
lawyer,n. 律师；法学家
legislation,"n. 法律; 法规 立法, 法律的制定[通过]"
mean,1. adj. 低劣的；平均的；卑鄙的 2. vt. 意欲；想要；意味
meaning,1. n. 意义；含义；意图 2. adj. 意味深长的
well-meaning,善意
meaningless,无意义的
meaningfully,
means,1. n. 方法；手段；财产（mean的复数） 2. v. 意思是；打算（mean的第三人称单数）
meanwhile,adv.同时； 其时，其间
by means of,"用, 凭借"
by no means,决不
indicate,vt. 指出；表明；象征；预示
implication,n. 暗示；牵连，卷入；含义
influence,影响， 感化
influential,"adj. 有影响的, 有权势的"
impact,影响；撞击；冲突；压紧
live,1. adj. 活的；实况转播的；精力充沛的；生动的 2. vt. 经历；度过
alive,adj. 活着的；活泼的；有生气的
deliver,1. vt. 发表；递送；释放；给予（打击）；交付；给…接生 2. vi. 传送；投递；履行；实现
delivery,n. 交付；递送；分娩
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
liveliness,n. 活泼
livelihood,"n. 生计,谋生之道"
live off,
dwell,vi. 居住；存在于；细想某事
reside,vi. 居住; 定居
survive,1. vt. 比...活得长；幸免于；幸存；生还 2. vi. 幸存；活下来
survival,n. 幸存，残存；幸存者，残存物
inhabit,1. vt. 居住于；占据；栖息 2. vi. （古）居住；栖息
settle,1. vi. 定居；下陷；解决；沉淀 2. vt. 解决；安排；使…定居
federal,1. adj. 联邦的；同盟的 2. n. 北部联邦同盟盟员；北京连邦软件产业发展公司，国内主要的正版软件经销商
federation,"n. 联邦 同盟, 联盟 联合会"
FBI,abbr. （美国）联邦调查局（Federal Bureau of Investigation）；英国工业联合会（Federation of British Industries）
Federal Bureau of Investigation,n. （美）联邦调查局
CIA,abbr. （西）公司（Compania）
Central Intelligence Agency,美国中央情报局（CIA）
large,1. adj. 大的；广博的；多数的 2. adv. 夸大地；大大地
largely,adv. 主要地；大量地；大部分
enlarge,1. vi. 扩大；放大；详述 2. vt. 使增大；扩大；扩展
at large,"详细地，笼统地, 充分地, 总体地"
bulky,adj. 庞大的；体积大的；笨重的
outsize,1. adj. 特大的 2. n. 特大号
huge,"adj. 巨大的, 庞大的"
mark,1. n. 马克；符号；痕迹；标志 2. vi. 作记号
market,1. n. 集市；市场；商店；销路；股票市场；行情；市面 2. vt. 在市场上出售
marketplace,n. 市场;集市 商业界
marked,1. adj. 有记号的；显著的 2. v. 作记号；打分数；表示（mark的过去分词）
marketer,n. 市场商人；市场营销人员
remark,言辞；评论；谈论
remarkable,adj. 异常的; 引人注目的; 不寻常的
landmark,n. 陆标，地标；里程碑；地界标；划时代的事
blot,墨水渍；吸干；弄上污渍
spot,1. n. 斑点；地点 2. vt. 认出；弄脏；用灯光照射
stain,1. vt. 沾污；败坏；给…着色 2. vi. 污染；被沾污；被染污
symbol,n. 符号；象征；标志
system,n. 系统；制度，体制；方法
systematic,系统的
systematically,adv. 有系统地;有组织地;有计划地;有条不紊地
regime,n. 政权，政体；社会制度；管理体制
organization,"n. 团体, 机构 组织 组织性, 系统性"
structure,结构，体系，建筑物
stress,1. n. 压力；紧张；重要性；强调；重读 2. vt. 强调；加压力于；使紧张；用重音读
stressed-out,因心理紧张而被压垮的
highlight,突出
emphasize,vt. 强调; 加强语气; 重读
strain,1. n. 张力；拉紧；血缘；负担；扭伤 2. vi. 拉紧；尽力
peer,1. vi. 凝视，盯着看；窥视 2. vt. 封为贵族；与…同等
gaze at,
stare at,凝视
glare at,怒视
contemporary,"adj. 当代的 同时代的, 同属一个时期的 n. 同代人, 同龄人"
issue,问题；流出；发行物；期号
tissue,1. n. 纸巾；薄纱；一套 2. vt. 饰以薄纱；用化妆纸揩去
claim,宣称；声称；断言
proclaim,vt. 声明；宣告，公布；表明；赞扬
disclaim,1. vt. 拒绝承认；放弃，弃权；否认，拒绝 2. vi. 否认；放弃；弃权
acclaim,1. vt. 称赞；为…喝采，向…欢呼 2. n. 称赞；欢呼，喝彩
lay claim to,要求；自以为；声称…的权力
allege,vt. 宣称，断言；提出…作为理由
contend,声称，主张，认为；应付，处理，对付
patent,1. vt. 取得…的专利权；授予专利 2. adj. 专利的；新奇的；显然的
intellectual property,知识产权
court,1. n. 法院；朝廷；球场；奉承 2. vt. 向…献殷勤；设法获得；招致（失败、危险等）
courteous,adj. 彬彬有礼的; 客气的
line,1. n. 绳；排；路线，航线 2. vt. 划线于；排成一行；以线条标示；使…起皱纹
hardline,1. adj. 不妥协的；强硬的 2. n. 强硬路线
underline,在...下面划线
decline,1. n. 下降；衰退；斜面 2. vi. 下降；衰落；谢绝
online,n. [计]在线；联机
offline,1. n. 脱机；挂线 2. adj. 脱机的；离线的，未连线的
coastline,海岸线
deadline,n. 截止期限，最后期限
incline,1. vi. 倾斜；倾向；易于 2. vt. 使倾斜；使倾向于
baseline,n. 基线；[体]底线
airline,1. n. 航空公司；航线 2. adj. 航线的
outline,1. n. 轮廓；大纲；概要；略图 2. vt. 概述；描画…轮廓；略述
lineage,n. 血统；家系，世系
pipeline,n. 管道；传递途径；输油管
guideline,"n. 指导方针, 准则"
in line with,与…一致；符合
series,n. 系列，连续；丛书；[电]串联；[数]级数
row,1. n. 行，排；吵闹；划船；街道 2. vt. 划船；使……成排
boundary,n. 分界线；边界；范围
bound,"1. vi. 跳; 弹回 2.vt. 给…划界, 限制 3.adj.被捆绑的, 被束缚的；一定的, 必定的;"
route,1. vt. 按某路线发送 2. n. 路线；航线；通道
succession,"n. 连续 连续不断的人[事物] 继承, 继任; 继承权"
procession,"n. 队伍, 行列 列队行进"
value,1. n. 价值；价格；重要性；值；确切涵义 2. vt. 评价；重视；估价
overvalue,vt. 对…估价过高 对…看得过重
devalued,
worth,1. adj. 值…的 2. n. 价值；财产
significance,"n. 意义, 意思 重大意义, 重要性"
view,1. n. 风景；意见；视野；观察 2. vt. 查看；观察；考虑
interview,面谈，访问，接见
viewer,n. 电视观众；观看者；观察者；指示器
review,1. n. 评论；回顾；复习；检讨；检阅 2. vt. 回顾；复审；检查
reviewer,n. 评论者，评论家
worldview,
in view of,
in view,
on view,
take sth. in view,
take sth. into account,
perspective,"n. 远景, 景 前途; 希望 透视 透视图 观点, 想法"
individual,个别的
individually,"adv. 分别地,各个地;各自地 独特地,与众不同地"
collective,"adj. 集体的, 共同的, 共有的"
economic,adj. 经济的，经济上的；经济学的
uneconomic,不经济的
economics,经济学
economically,"adv. 节约地,节俭地;节省地；经济地 在经济上"
socioeconomic,社会经济
fiscal cliff,
IMF,国际货币基金组织
International Monetary Fund,国际货币基金组织
financial,"adj. 财政的, 金融的"
fiscal,adj. 国库的；会计的，财政的
monetary,adj. 财政的；货币的
create,vt. 造成；创造，创作
creature,n. 动物，生物；人；创造物
creative,adj. 创造性的
recreate,1. vi. 娱乐；消遣 2. vt. 再创造；使得到娱乐/消遣
creativity,n. 创造性，创造力；创作能力
creation,n. 创造，创作；创作物，产物
creationism,"n. 创造宇宙说,特别创造说"
creationist,"n. 神灵论者, 上帝论者"
procreation,n. 生殖；生产
legal,adj. 法定的；法律的；合法的
illegal,1. adj. 非法的；违法的；违反规则的 2. n. 非法移民；间谍
legitimate,adj. 合情合理的; 合法的
official,1. adj. 正式的；官方的；公务的 2. n. 官员；公务员
consider,1. vt. 认为；考虑；细想；考虑到 2. vi. 认为；考虑；细想
consideration,考虑
reconsider,vt. 重新考虑
considerable,adj. 相当大(或多)的
considering,考虑
consider ... as,
subject,1. n. 主题；科目；国民；主语 2. adj. 服从的；易患…的；受制于…的
subjective,主观的
be subject to,
lead,1. n. 铅；领导；导线；榜样；石墨 2. vt. 领导；引导；指挥；致使
leadership,"n. 领导; 领导权 领导阶层, 领导人员"
mislead,vt. 误导；带错
leader,n. 领导者；首领；指挥者
plead,1. vt. 为...辩护；托称；借口 2. vi. 恳求；辩护
leading,1. adj. 主要的；领导的 2. n. 领导；[印刷]铅板；[计]行距
lead someone on,
lead up to,导致；作为…的准备
take the lead,
intend,1. vt. 打算；意指；想要 2. vi. 有打算
intend to do,
intend doing sth.,
sector,1. n. 部门；部分；防御地段；防区；扇形，扇区；象限仪；函数尺 2. vt. 把…分成扇形
account,1. n. 帐目，帐单；理由；帐户；解释 2. vi. 报帐；解释；导致
accountant,会计人员
account for,对…负有责任；对…做出解释；说明……的原因
take into account,重视；考虑；体谅
leave sth. out of account,
on account of,"因为, 由于"
description,描述
explanation,"n. 解释, 说明 能说明某事缘由的言语、事实、情况等"
consumer,n. 用户，顾客；消费者
consumption,消费
consuming,消费的；强烈的
consumerism,消费主义
client,n. 委托人；顾客；客户
environment,"n. 环境, 周围状况, 自然环境"
environmental,环境的
environmentally,adv. 有关环境方面
environmentalist,"n. 环境保护论者, 人类生态学者"
surroundings,环境
atmosphere,气氛
situation,情况
essay,1. n. 散文；随笔；试图 2. vt. 尝试；对…做试验
article,1. n. 物品；文章；冠词；条款 2. vt. 订约将…收为学徒或见习生；使…受协议条款的约束
matter,1. n. 物质；事件；原因 2. vi. 要紧；有关系
as a matter of fact,事实上
substance,物质
stuff,1. n. 材料；东西；填充物；素材资料 2. vt. 填塞；塞满；让吃饱
material,1. adj. 物质的，实质性的；重要的；肉体的 2. n. 材料，原料；物资；布料
fund,1. n. 资金；基金；存款 2. vt. 投资；资助
fundamental,"adj. 基本的; 重要的, 必要的 n. 基本原则, 基本法则"
fundamentally,adv. 基础地;根本地;重要地
non-fundamentalist,
underfund,vt. 对…提供资金不足
hold,1. vt. 持有；保存；拥有；拘留；约束或控制 2. vi. 持续；支持；有效
household,家庭
holder,n. （台、架等）支持物；所有人；持有人；固定器
withhold,1. vt. 保留，不给；抑制；隐瞒 2. vi. 忍住；克制
shareholder,n. 股东
shareholding,n. 股权
stockholder,股东
stakeholder,n. 赌金保管者
hold back,退缩；隐瞒；抑制；阻止
hold on,"vi. 抓住,继续,坚持,忍受"
hold out,伸出，坚持
hold up,"vt. 举起,提出,抓举,支持住,阻挡"
cling,紧贴；坚持，墨守；附着
withstand,"vt. 经受, 承受"
seize,1. vt. 抓住；夺取；逮捕；理解 2. vi. 抓住；利用；（机器）卡住
function,1. n. 功能；函数；职责；盛大的集会 2. vi. 行使职责；运行；活动
functional,实用
work,1. n. 工作；职业；产品；行为；文学、音乐或艺术作品；工厂；操作；[物]功 2. vt. 使工作；操作；经营；使缓慢前进
employ,采用；雇用；使忙于，使从事于
evidence,1. n. 证据，证明；迹象；明显 2. vt. 证明
evident,adj. 明显的；明白的
proof,1. n. 证据；证明；校样；考验；验证；试验 2. adj. 防…的；不能透入的；证明用的；耐…的
confirmation,"n. 证实,证据,确认 (基督教中的)坚信礼"
practice,1. n. 练习；实践；惯例 2. vi. 练习；实习；实行
in practice,实际上，事实上；在实践中
perform,1. vt. 执行；完成；演奏 2. vi. 表演；执行，机器运转
note,1. n. 笔记；注解；便笺；照会；音符；调子；票据；纸币 2. vt. 记录；注意；注解
denote,vt. 表示，指示
noteworthy,值得注意的
take notes,
make notes,
degree,n. 程度，等级；度；学位；阶层
agreement,"n. 协定, 协议, 契约 达成协议 同意"
Greek,1. n. 希腊语；希腊人 2. adj. 希腊的；希腊人的，希腊语的
concern,1. vt. 涉及，关系到；使担心 2. n. 关心；关系；关心的事
concerned,"adj. 担心的, 烦恼的, 忧虑的"
unconcerned,不关心的，不忧虑的
concern oneself with,研究的对象是…；关心，关注…；从事，忙于；参与，干预…
as far as ... be concerned,
so far as ... be concerned,
allow,1. vt. 允许；认可；给予 2. vi. 容许；考虑
shallow,1. adj. 浅的；肤浅的 2. n. 浅滩
allow for,考虑到，虑及
product,n. 产品；结果；作品；乘积
production,生产
productive,"adj. 多产的, 富饶的 富有成效的; 有益的"
productivity,"n. 生产率, 生产力"
invention,n. 发明；发明物；发明才能；虚构
level,1. n. 水平；水平面；标准 2. adj. 平坦的；水平的；同高的
low-level,adj. 低水平的
level off,趋平；呈平稳状态；把...弄平
on the level,
do one's level best,
effort,n. 成就；努力
effortless,adj. 不费力的;轻松的 adv. 不作努力地;不费力地
infer,1. vt. 推断；推论 2. vi. 推断；作出推论
inferiority,"n. 劣势,劣等;下等;次级 自卑情绪,自卑感"
inferior,1. adj. 下级的，下等的；差的；自卑的 2. n. 次品；下级
inference,"n. 推论, 推理, 推断 推断结果, 结论"
deduce,vt. 推论，推断；演绎出
conclude,推断；结束；决定，作结论
professional,adj.职业的，专业的
professionalize,专业化
professionalization,
professionalism,专业
provide,1. vt. 规定；提供；准备；装备 2. vi. 抚养；规定；作准备
provided,1. conj. 倘若；假如 2. v. 提供；给予（provide的过去式）
provider,n. 供应者；养家者
provision,规定， 条款
supply,1. n. 供给，补给；供应品 2. vt. 供给，提供；补充
offer,1. vt. 提供；试图；出价 2. n. 提议；出价；意图
challenge,挑战
unchallenged,"未受到挑战的,未引起争论的,不成问题的"
deal,处理；给予；发牌；分配
ideal,1. adj. 理想的；完美的；想象的；不切实际的 2. n. 理想；典范
dealing,n. 交易，行为
dealership,"n. 代理权,经销权"
deal with,涉及；处理；做生意
a great deal of,大量
contract,合同；契约；感染；订约；收缩
restructuring,重组
structural,"结构(上)的, 构架(上)的"
infrastructure,基础设施
define,vt. 定义；使明确；规定
content,1. n. 内容，目录；容量；满足 2. adj. 满意的
contention,争夺
discontent,不满
self-contented,
immigrant,n. 移民
immigration,n. (机场、港口等)移民局检查站 移民
emigrate,1. vi. 移居；移居外国 2. vt. 移民
comprehension,"n. 理解, 理解力"
comprehensive,"adj. 广泛的, 综合的"
beyond one's comprehension,
potential,"adj. 潜在的, 有可能的 n. 潜力；电位；电势；可能性"
possible,1. adj. 可能的；合理的；合适的 2. n. 可能性；可能的事物；合适的人
probable,1. adj. 很可能的；可信的 2. n. 很可能的事；大有希望的候选者
massive,adj. 大量的；巨大的，厚重的；魁伟的
massacre,1. vt. 残杀；彻底击败 2. n. 大屠杀；[口]惨败
biomass,n. （单位面积或体积内的）生物量
rally,召集；恢复；集会；（汽车或摩托车）拉力赛
compare,1. vt. 比较；对照；比喻为 2. vi. 相比；比较
comparable,"adj. 类似的, 同类的, 相当的 可比较的, 比得上的"
comparison,比较
comparative,"adj. 比较的, 相比的 相比之下的, 相比而言的, 相对的"
comparatively,"adv. 对比地；相对地 比较地;有点,稍微"
compare with,与…相比较
compare to,把...比作，比喻为
contrast,1. vi. 对比；形成对照 2. vt. 使对比；使与…对照
feature,1. n. 容貌；特色，特征；特写或专题节目 2. vi. 起重要作用
involve,vt. 包含；牵涉；使陷于；潜心于
involvement,参与
revolve,1. vi. 旋转；循环出现；反复考虑 2. vt. 使…旋转；使…循环；反复考虑
evolve,1. vt. 发展，进化；进化；使逐步形成；推断出 2. vi. 进化；发展，进展；逐步形成
invalid,1. adj. 无效的；有病的；残废的 2. n. 病人；残废者
engage,1. vt. 雇佣；吸引，占用；使订婚；使参加；预定 2. vi. 答应，保证；从事；交战；啮合
occupy,vt. 占据，占领；使忙碌；居住
segment,1. vi. 分割 2. n. 段；部分
section,1. n. 章节；地区；截面；部门 2. vi. 被切割成片；被分成部分
fraction,n. 小部分；部分；稍微；[数]分数
access,接近；存取；使用
accessible,可接近的，可得到的
access road,（高速公路的）交流道；通路
cover,1. vt. 包括；涉及；采访，报导 2. n. 盖子；封面，封皮；掩蔽物
coverage,n. 覆盖，覆盖范围
recovery,n. 恢复，复原；痊愈；重获
discover,1. vt. 发现；发觉 2. vi. 发现
cloak,1. n. 斗蓬；宽大外衣；托词 2. vt. 遮掩；隐匿
reveal,1. vt. 揭露；显示；透露；泄露 2. n. 揭露；暴露；门侧，窗侧
uncover,1. vt. 揭露；发现；揭开 2. vi. 发现；揭示；揭去盖子
unveil,1. vt. 揭幕；使公诸于众，揭开 2. vi. 除去面纱；显露
display,1. n. 显示；炫耀 2. vt. 显示；陈列；表现
disclose,vt. 揭露；公开
analysis,n. 分析；分解；验定
anatomy,n. 解剖学；剖析；[医]解剖；骨骼
probe,1. n. 探针；调查 2. vi. 调查；探测
identify,1. vt. 识别；确定；使参与；把…看成一样 2. vi. 认同；一致；确定
identity,n. 身份；同一性，一致；恒等式；特性
identify with,
recognize,认识
title,1. n. 标题；头衔；冠军；权利；字幕 2. vt. 加标题于；赋予头衔；把…称为
entitle,给…命名；定名为…；给…称号；使…有权利
entitlement,"n. 授权, 有资格 有权得到的东西"
subtitle,1. n. 副标题；说明或对白的字幕 2. vt. 在…上印字幕；给…加副标题
doubt,1. n. 怀疑；疑问；疑惑 2. v. 怀疑；不信；[古]恐怕；拿不准
doubter,n. 抱怀疑态度的人；不信宗教的人；怀疑论者
undoubtedly,"adv. 毋庸置疑地,的确地"
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
in doubt,
in no doubt,
physical,1. adj. 身体的；物质的；物理的 2. n. [口]体格检查
physics,n. 物理学；物理现象
geophysical,地球物理
physician,内科医生
astrophysicist,天体物理学家
bodily,1. adv. 整体地；亲自地；以肉体形式 2. adj. 身体的；肉体的
introduce,介绍
introductory,介绍
launch,1. vt. 发射（导弹、火箭等）；发起，发动；使…下水 2. vi. 下水；开始；起飞
initiate,1. vt. 开始，创始；发起；使初步了解 2. n. 开始；新加入者，接受初步知识者
figure,1. n. 图形；数字；（人的）体形；人物；画像；价格 2. vi. 出现；计算；扮演角色
figure out,计算出; 解决 弄明白
conduct,组织；导电；举止
semiconductor,半导体
conductive,adj. 传导的
conductor,"n. (乐队)指挥 售票员, 列车长 〈电〉导体"
behavior,n. 行为，举止；态度；反应
steer,1. vt. 驾驶；控制，引导 2. vi. 驾驶，掌舵；行驶
tell,1. vt. 告诉，说；吩咐；辨别；断定 2. vi. 讲述；告发，泄密；识别
teller,n. 讲述者；讲故事者；计票员；（美）出纳员
intellect,智力
intellectual,知识分子
intellectualism,"n. 知性主义,对理智的偏重,理智主义"
intelligent,adj. 聪明的; 理解力强的
intelligently,adv. 聪明地
intelligence,"n. 智力, 智慧; 理解力 情报, 消息 情报人员"
satellite,"n. 卫星 人造卫星 卫星国, 附庸国, 卫星都市"
inform,1. vt. 通知；告诉；报告 2. vi. 告发；告密
notify,vt. 通告，通知；公布
lack,1. vt. 缺乏；没有；需要；不足 2. vi. 缺乏；不足；没有
slack,1. adj. 松弛的；疏忽的；不流畅的 2. vi. 松懈；减弱
slacken,1. vi. 变松弛；变缓慢；松劲，懈怠 2. vt. 使缓慢；使松弛
available,可用的
be available to,
obtainable,adj. 可获得的；可取得的
emerge,vi. 浮现；暴露；摆脱
emergence,出现
emergency,"n. 紧急情况, 不测事件, 非常时刻"
emerge from,
surface,1. n. 表面；外观；表层 2. adj. 表面的，肤浅的
originate,"起源于, 来自, 产生"
appear,vi. 出现；似乎；显得；[法]出庭
express,1. vt. 表达；快递 2. adj. 明确的；迅速的；专门的
press,1. vt. 压；按；紧抱；逼迫 2. vi. 压；重压；逼
expression,表达
impress,"vt. 给…以深刻印象, 使铭记 印, 压印"
impressive,"adj. 给人印象深刻的, 感人的"
unimpressive,给人印象不深
depress,vt. 使沮丧；压低；使萧条
depression,沮丧，萧条
depressant,adj. 有镇静作用的 n. 镇静剂
compress,1. vi. 受压缩小 2. vt. 压缩，压紧；精简
pressing,1. n. 压；冲压件 2. adj. 紧迫的；迫切的；恳切的
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
suppress,vt. 抑制；镇压；废止
press for,
convey,vt. 传达；让与；运输
consequence,"n. 结果, 后果 重要(性), 重大"
in consequence,因此；结果
outcome,n. 结果，结局；成果
contribute,"vt. & vi. 捐献, 捐助, 贡献出 撰稿, 投稿 vi. 起促成作用"
contributing,贡献
contribution,"n. 捐助物, 贡献 捐款"
contribute to,
lead to,导致
give rise to,"引起，使发生, 导致"
executive,行政的
current,1. adj. 现在的；最近的；草写的；流通的，通用的 2. n. 趋势；涌流；（水，气，电）流
curve,1. n. 曲线；弯曲；曲线球；曲线图表 2. vt. 使弯曲；弯
sort,1. n. 种类；方式；品质 2. vi. 分类；交往；协调
resort,度假胜地；凭借，手段；常去之地
sort sth. out,
assort,1. vi. 交往；协调 2. vt. 把…分级；把…归为一类
classify,vt. 分类；分等
secure,1. adj. 安全的；无虑的；有把握的；稳当的 2. vt. 保护；招致；缚住；弄到
safeguard,"n. 防护措施, 安全设施 vt. 保护; 保卫; 防护"
shield,1. n. 盾；防护物；保护者 2. vt. 保卫；包庇；遮蔽；避开
threat,n. 威胁，恐吓；凶兆
menace,1. n. 威胁；恐吓 2. vi. 恐吓；进行威胁
materialism,唯物主义
materialistic,唯物主义的
observe,观察；遵守；说；评论
observer,n. 遵守者；观察者；观测者
abide,1. vt. 忍受，容忍；停留 2. vi. 持续；停留；忍受
survey,1. n. 调查；测量；纵览；审视 2. vt. 调查；勘测；俯瞰
establish,"vt. 建立, 成立 安置 确定, 证实"
establishment,"建立, 确立"
well-established,adj. 已为大家接受的;信誉卓著的 生了根的;根深蒂固的
establish oneself in,
